      Model     AICc      AIC Parms    d_AICc     d_AIC
1  m_canopy 71.00480 70.48532     2  0.000000  0.000000
4      m_MN 73.27398 72.48450     3  2.269177  1.999184
10  m_three 74.20527 73.68579     2  3.200467  3.200467
2    m_kelp 74.88444 73.76444     4  3.879639  3.279119
7      m_NP 76.02054 75.23107     3  5.015741  4.745748
6   m_nereo 76.94016 76.42068     2  5.935363  5.935363
3   m_macro 84.48899 83.96951     2 13.484194 13.484194
5      m_MP 84.93127 84.14180     3 13.926473 13.656480
8   m_ptery 85.91920 85.39972     2 14.914399 14.914399
11   m_year 87.08138 86.92948     1 16.076575 16.444157
9    m_rand 88.01148 87.70378     1 17.006675 17.218464
