"sort_order","YEAR","MONTH","DAY","SITE","OBSERVER","BUDDY","SIDE","ZONE","LEVEL","TRANSECT","DEPTH_M","DEPTH_FT","VIS_M","SURGE","HEADING","TEMP_C","TEMP_F","SPECIES","SEGMENT","QUANTITY","SIZE..MIN.","SIZE..MAX.","Cntrl.a","Notes"
1,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3.3,"L","NW",NA,NA,"SEBYT","ALL",97,6,8,NA,NA
2,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3.3,"L","NW",NA,NA,"SEME","ALL",3,35,35,NA,NA
3,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3.3,"L","NW",NA,NA,"SEME","ALL",4,30,30,NA,NA
4,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3.3,"L","NW",NA,NA,"SEME","ALL",3,25,25,NA,NA
5,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3.3,"L","NW",NA,NA,"EMLA","ALL",2,8,8,NA,NA
6,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3.3,"L","NW",NA,NA,"RHNI","ALL",2,7,7,NA,NA
7,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,30,3.3,"L","NW",NA,NA,"SEBYT","ALL",192,6,8,NA,NA
8,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,30,3.3,"L","NW",NA,NA,"SEPI","ALL",1,8,8,NA,NA
9,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,30,3.3,"L","NW",NA,NA,"OPEL","ALL",1,75,75,NA,NA
10,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,25,25,NA,NA
11,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",2,55,60,NA,NA
12,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",3,NA,30,3.3,"L","NW",NA,NA,"SEBYT","ALL",293,6,8,NA,NA
13,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",3,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",2,60,60,NA,NA
14,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",3,NA,30,3.3,"L","NW",NA,NA,"AUFL","ALL",8,6,6,NA,NA
15,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,30,3.3,"L","NW",NA,NA,"SEBYT","ALL",194,6,8,NA,NA
16,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,30,3.3,"L","NW",NA,NA,"RHNI","ALL",1,8,8,NA,NA
17,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,25,25,NA,NA
18,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,35,35,NA,NA
19,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,45,45,NA,NA
20,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,50,50,NA,NA
21,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,60,60,NA,NA
22,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"SEBYT","ALL",119,6,8,NA,NA
23,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"EMLA","ALL",1,8,8,NA,NA
24,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"EMLA","ALL",1,25,25,NA,NA
25,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"AUFL","ALL",2,5,5,NA,NA
26,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"RHNI","ALL",2,6,6,NA,NA
27,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,30,3.3,"L","NW",NA,NA,"SEBYT","ALL",107,6,8,NA,NA
28,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,30,3.3,"L","NW",NA,NA,"AUFL","ALL",16,5,10,NA,NA
